Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,75.839996,76.029999,74.580002,75.250000,63.857315,284100
2014-01-03,75.250000,75.599998,74.830002,75.489998,64.060989,196600
2014-01-06,75.639999,75.900002,74.080002,74.620003,63.322693,338400
2014-01-07,74.919998,75.629997,74.790001,75.029999,63.670612,306900
2014-01-08,75.029999,75.779999,74.720001,75.550003,64.111893,271300
2014-01-09,75.879997,75.879997,74.660004,75.519997,64.086433,261200
2014-01-10,75.820000,76.269997,75.070000,76.120003,64.595612,331600
2014-01-13,76.110001,76.769997,75.360001,75.489998,64.060989,454800
2014-01-14,75.599998,76.059998,75.209999,75.349998,63.942177,330600
2014-01-15,75.379997,76.410004,75.300003,75.459999,64.035515,273200
2014-01-16,75.690002,76.339996,75.400002,76.110001,64.587105,216900
2014-01-17,76.230003,76.339996,75.730003,76.080002,64.561646,263600
2014-01-21,76.120003,76.120003,75.209999,75.639999,64.188271,332600
2014-01-22,75.699997,75.720001,75.239998,75.540001,64.103409,322000
2014-01-23,75.400002,75.400002,74.349998,74.480003,63.203892,369700
2014-01-24,73.760002,73.760002,70.339996,70.400002,59.741589,927100
2014-01-27,70.650002,70.650002,68.419998,68.930000,58.494144,747000
2014-01-28,69.410004,69.730003,68.500000,69.699997,59.147564,570000
2014-01-29,69.209999,70.269997,68.650002,69.260002,58.774185,409400
2014-01-30,69.760002,70.690002,68.839996,70.550003,59.868874,390600
2014-01-31,69.360001,70.739998,69.320000,69.949997,59.359722,370900
2014-02-03,69.529999,70.110001,66.410004,66.720001,56.618736,1072100
2014-02-04,66.889999,68.430000,66.279999,67.720001,57.467346,1053900
2014-02-05,67.529999,67.940002,67.269997,67.589996,57.357018,424100
2014-02-06,67.900002,69.620003,67.790001,68.610001,58.222591,274800
2014-02-07,69.089996,69.760002,68.769997,69.629997,59.088169,339600
2014-02-10,69.220001,69.370003,68.419998,69.139999,58.672344,512000
2014-02-11,72.570000,72.639999,70.769997,72.080002,61.167267,625700
2014-02-12,72.120003,72.739998,71.769997,72.610001,61.617004,437100
2014-02-13,71.910004,73.029999,71.559998,72.860001,61.829166,463400
2014-02-14,72.870003,73.870003,72.849998,73.800003,62.626850,210900
2014-02-18,74.129997,74.559998,73.660004,74.099998,62.881416,351200
2014-02-19,73.730003,73.930000,72.199997,72.379997,61.421833,917400
2014-02-20,72.379997,72.500000,70.070000,70.610001,59.919796,1224400
2014-02-21,70.320000,70.820000,69.099998,70.139999,59.520962,952000
2014-02-24,70.029999,70.599998,68.800003,68.889999,58.460201,944700
2014-02-25,68.849998,68.940002,67.220001,68.519997,58.146214,938500
2014-02-26,68.779999,70.160004,68.419998,68.910004,58.477177,975000
2014-02-27,68.900002,69.709999,68.800003,69.570000,59.037254,513000
2014-02-28,69.480003,70.220001,68.870003,69.279999,58.791157,629200
2014-03-03,68.459999,68.970001,67.839996,68.529999,58.154716,546000
2014-03-04,69.000000,69.930000,68.860001,69.669998,59.425606,574500
2014-03-05,69.650002,70.089996,69.360001,69.919998,59.638851,447300
2014-03-06,70.209999,70.660004,69.779999,70.400002,60.048267,616400
2014-03-07,70.449997,70.970001,69.559998,70.820000,60.406528,477600
2014-03-10,70.589996,70.589996,69.190002,69.949997,59.664433,330600
2014-03-11,70.190002,70.800003,69.440002,69.589996,59.357361,342600
2014-03-12,69.169998,70.260002,68.830002,68.919998,58.785889,528800
2014-03-13,69.099998,69.389999,68.059998,68.839996,58.717655,580100
2014-03-14,69.040001,69.550003,68.739998,69.309998,59.118546,347500
2014-03-17,69.540001,70.559998,68.820000,69.410004,59.203831,483200
2014-03-18,69.500000,70.779999,69.260002,70.639999,60.252991,358600
2014-03-19,70.480003,71.029999,69.989998,70.540001,60.167686,313400
2014-03-20,70.150002,70.779999,69.889999,70.110001,59.800919,877700
2014-03-21,70.190002,71.650002,70.110001,70.809998,60.397987,876500
2014-03-24,71.199997,71.779999,70.360001,71.150002,60.688007,275600
2014-03-25,71.629997,72.470001,70.980003,71.180000,60.713585,352700
2014-03-26,71.550003,71.809998,69.550003,69.559998,59.331779,343800
2014-03-27,69.489998,70.029999,69.230003,69.410004,59.203831,443300
2014-03-28,70.019997,70.720001,69.629997,69.750000,59.493855,319500
2014-03-31,70.010002,71.230003,69.800003,70.660004,60.270042,431100
2014-04-01,70.760002,71.300003,70.330002,71.279999,60.798874,406100
2014-04-02,71.230003,71.860001,70.989998,71.650002,61.114475,423500
2014-04-03,71.650002,72.419998,71.650002,71.860001,61.293598,424200
2014-04-04,72.559998,73.099998,71.510002,71.699997,61.157120,755700
2014-04-07,71.669998,71.849998,69.830002,70.370003,60.022686,458800
2014-04-08,70.300003,71.169998,70.129997,70.489998,60.125027,435600
2014-04-09,70.830002,71.150002,70.639999,70.849998,60.432098,502000
2014-04-10,70.739998,71.099998,69.410004,69.580002,59.348843,386300
2014-04-11,69.279999,69.500000,68.370003,69.029999,58.879707,345300
2014-04-14,69.410004,70.209999,69.260002,69.790001,59.527962,586900
2014-04-15,69.720001,69.720001,67.879997,69.230003,59.050316,665000
2014-04-16,69.580002,70.480003,69.580002,70.000000,59.707081,681800
2014-04-17,69.820000,71.040001,69.669998,70.269997,59.937382,1257300
2014-04-21,70.339996,71.540001,70.080002,71.400002,60.901234,621600
2014-04-22,71.610001,72.279999,71.250000,72.019997,61.430058,695600
2014-04-23,72.000000,72.389999,71.550003,72.050003,61.455650,744500
2014-04-24,70.830002,71.500000,69.559998,70.949997,60.517384,1027700
2014-04-25,70.900002,71.040001,69.529999,70.000000,59.707081,460900
2014-04-28,70.160004,70.400002,69.470001,70.059998,59.758274,810600
2014-04-29,70.389999,70.889999,70.209999,70.739998,60.338280,494300
2014-04-30,70.750000,70.959999,70.470001,70.820000,60.406528,526500
2014-05-01,71.169998,71.470001,70.809998,71.199997,60.730644,578000
2014-05-02,71.269997,72.489998,71.250000,72.150002,61.540951,629200
2014-05-05,71.680000,71.800003,70.849998,71.099998,60.645344,813200
2014-05-06,70.989998,71.480003,70.769997,71.209999,60.739162,420400
2014-05-07,71.250000,71.830002,71.110001,71.800003,61.242413,265600
2014-05-08,71.830002,72.559998,70.919998,71.120003,60.662418,611100
2014-05-09,70.959999,71.489998,70.639999,71.470001,60.960926,582500
2014-05-12,71.970001,73.459999,71.680000,73.430000,62.632725,495100
2014-05-13,73.500000,74.040001,72.830002,73.089996,62.342716,507500
2014-05-14,73.089996,73.370003,72.889999,73.080002,62.334198,425700
2014-05-15,72.830002,72.970001,71.260002,72.290001,61.660362,414700
2014-05-16,71.970001,72.099998,71.000000,71.989998,61.404449,378900
2014-05-19,71.870003,72.510002,71.360001,72.379997,61.737110,339300
2014-05-20,72.010002,72.089996,70.440002,70.639999,60.252991,382900
2014-05-21,71.070000,71.320000,70.309998,70.989998,60.551498,389100
2014-05-22,71.199997,72.000000,70.900002,71.800003,61.242413,574000
2014-05-23,71.820000,72.510002,71.599998,72.330002,61.694469,280900
2014-05-27,72.510002,73.199997,72.410004,73.019997,62.283001,523500
2014-05-28,72.510002,73.150002,72.300003,72.339996,62.000191,610000
2014-05-29,72.680000,73.070000,72.139999,73.040001,62.600155,299700
2014-05-30,72.610001,72.699997,71.849998,71.949997,61.665936,513300
2014-06-02,72.019997,72.150002,71.519997,71.980003,61.691643,376700
2014-06-03,71.610001,71.690002,71.209999,71.519997,61.297379,272100
2014-06-04,71.239998,71.959999,70.989998,71.779999,61.520241,340800
2014-06-05,71.889999,72.690002,71.370003,72.489998,62.128742,216000
2014-06-06,72.760002,73.110001,72.190002,72.769997,62.368725,246000
2014-06-09,72.959999,73.400002,72.699997,73.239998,62.771564,315700
2014-06-10,73.099998,73.150002,72.510002,72.790001,62.385872,338500
2014-06-11,72.360001,73.250000,72.309998,73.209999,62.745834,225800
2014-06-12,72.900002,72.900002,71.830002,72.050003,61.751648,172000
2014-06-13,72.080002,72.519997,71.760002,72.430000,62.077343,317300
2014-06-16,72.449997,72.690002,71.830002,71.949997,61.665936,302800
2014-06-17,71.949997,73.709999,71.440002,73.099998,62.651550,412300
2014-06-18,73.269997,73.669998,72.739998,73.620003,63.097244,296100
2014-06-19,73.650002,73.989998,73.540001,73.760002,63.217236,361400
2014-06-20,73.389999,73.760002,73.320000,73.459999,62.960106,445800
2014-06-23,73.889999,73.989998,73.150002,73.730003,63.191532,302600
2014-06-24,73.379997,74.690002,72.839996,72.919998,62.497292,239600
2014-06-25,72.879997,73.860001,72.879997,73.830002,63.277225,244100
2014-06-26,73.709999,74.000000,73.279999,73.680000,63.148674,457600
2014-06-27,73.389999,73.779999,73.089996,73.430000,62.934395,391000
2014-06-30,73.360001,73.900002,72.790001,73.709999,63.174381,476000
2014-07-01,74.000000,74.989998,73.709999,74.260002,63.645767,582200
2014-07-02,74.080002,74.669998,74.080002,74.290001,63.671471,355400
2014-07-03,74.389999,74.739998,74.239998,74.610001,63.945728,500200
2014-07-07,74.129997,74.559998,73.879997,74.139999,63.542919,271800
2014-07-08,74.110001,74.550003,73.919998,74.290001,63.671471,447300
2014-07-09,74.449997,74.720001,74.029999,74.480003,63.834320,470800
2014-07-10,73.250000,74.010002,73.059998,73.220001,62.754410,286900
2014-07-11,73.180000,73.720001,72.580002,73.550003,63.037231,339900
2014-07-14,74.000000,74.000000,72.760002,73.690002,63.157242,398800
2014-07-15,73.830002,74.180000,72.919998,73.459999,62.960106,328500
2014-07-16,74.070000,74.370003,73.330002,74.250000,63.637196,584600
2014-07-17,73.800003,74.620003,73.500000,73.940002,63.371510,503100
2014-07-18,73.989998,75.180000,73.879997,75.099998,64.365677,476500
2014-07-21,74.980003,75.320000,74.410004,74.699997,64.022858,637000
2014-07-22,75.199997,75.379997,74.580002,74.959999,64.245705,845100
2014-07-23,75.089996,75.110001,74.480003,74.889999,64.185707,451300
2014-07-24,73.010002,73.250000,70.889999,71.099998,60.937443,1038800
2014-07-25,71.199997,71.239998,70.370003,70.930000,60.791725,568100
2014-07-28,70.809998,71.389999,70.220001,70.959999,60.817455,460600
2014-07-29,71.150002,71.360001,69.910004,69.919998,59.926079,646700
2014-07-30,70.650002,70.809998,68.919998,69.699997,59.737545,788000
2014-07-31,68.839996,69.709999,68.050003,68.250000,58.494804,669400
2014-08-01,67.949997,68.760002,66.760002,67.680000,58.006264,942300
2014-08-04,68.040001,68.809998,67.599998,68.660004,58.846191,679900
2014-08-05,67.959999,68.680000,67.349998,67.610001,57.946270,554000
2014-08-06,67.699997,69.019997,67.610001,68.800003,58.966183,621000
2014-08-07,69.129997,69.239998,67.739998,68.129997,58.391933,536400
2014-08-08,68.120003,68.760002,67.900002,68.690002,58.871906,405800
2014-08-11,69.129997,69.160004,68.589996,68.779999,58.949039,330200
2014-08-12,68.570000,68.910004,67.739998,68.110001,58.374809,274900
2014-08-13,67.889999,68.739998,67.690002,68.680000,59.167377,260000
2014-08-14,68.610001,68.800003,68.389999,68.589996,59.089832,193700
2014-08-15,68.730003,68.870003,67.849998,68.199997,58.753849,321300
2014-08-18,68.730003,69.769997,68.599998,69.709999,60.054718,547200
2014-08-19,69.809998,70.139999,69.449997,69.709999,60.054718,290200
2014-08-20,69.709999,70.099998,69.339996,69.959999,60.270081,343300
2014-08-21,69.879997,69.910004,69.070000,69.699997,60.046097,255200
2014-08-22,69.500000,69.599998,69.040001,69.239998,59.649815,258000
2014-08-25,69.779999,69.940002,69.160004,69.239998,59.649815,360900
2014-08-26,69.550003,70.389999,69.400002,70.230003,60.502693,365600
2014-08-27,70.230003,70.449997,69.839996,70.330002,60.588852,382800
2014-08-28,70.089996,70.089996,69.370003,69.800003,60.132248,334900
2014-08-29,69.800003,70.040001,69.410004,69.919998,60.235626,193900
2014-09-02,70.099998,70.589996,69.779999,70.459999,60.700836,541100
2014-09-03,70.940002,71.519997,70.559998,71.040001,61.200508,591600
2014-09-04,71.029999,71.980003,70.930000,71.180000,61.321098,278300
2014-09-05,71.269997,71.320000,70.519997,71.040001,61.200508,181100
2014-09-08,71.160004,71.239998,70.070000,70.349998,60.606075,390500
2014-09-09,70.330002,70.330002,69.500000,69.900002,60.218395,383000
2014-09-10,69.800003,70.290001,69.199997,70.269997,60.537151,328200
2014-09-11,70.160004,71.110001,70.070000,70.820000,61.010998,421100
2014-09-12,70.769997,71.059998,70.379997,70.760002,60.959286,742000
2014-09-15,70.750000,71.209999,70.750000,70.959999,61.131580,391000
2014-09-16,70.730003,72.190002,70.660004,71.910004,61.949993,636900
2014-09-17,72.389999,73.519997,72.379997,73.239998,63.095806,861600
2014-09-18,73.339996,73.849998,73.239998,73.650002,63.448994,634000
2014-09-19,73.959999,73.959999,72.470001,72.599998,62.544441,1002000
2014-09-22,72.739998,72.739998,71.610001,72.150002,62.156761,551200
2014-09-23,72.099998,72.529999,71.870003,71.900002,61.941395,701400
2014-09-24,72.250000,72.250000,70.610001,70.720001,60.924824,845500
2014-09-25,70.699997,70.839996,69.269997,69.779999,60.115013,700400
2014-09-26,69.739998,70.320000,69.480003,70.010002,60.313168,474700
2014-09-29,69.279999,69.720001,68.900002,68.930000,59.382744,494000
2014-09-30,68.940002,69.070000,68.000000,68.400002,58.926155,581200
2014-10-01,68.180000,68.449997,67.010002,67.320000,57.995739,747800
2014-10-02,67.120003,67.459999,65.809998,66.709999,57.470230,479700
2014-10-03,66.889999,67.129997,65.910004,66.059998,56.910252,453500
2014-10-06,66.449997,66.699997,65.470001,66.120003,56.961952,564800
2014-10-07,65.730003,66.220001,65.019997,65.059998,56.048756,542000
2014-10-08,65.199997,65.839996,63.790001,65.779999,56.669052,538800
2014-10-09,65.790001,65.790001,63.200001,63.480000,54.687607,620000
2014-10-10,63.070000,63.860001,62.250000,62.250000,53.627975,518300
2014-10-13,62.349998,63.840000,61.240002,61.349998,52.852627,818400
2014-10-14,61.770000,62.959999,61.330002,61.669998,53.128307,873900
2014-10-15,61.000000,62.360001,59.919998,61.779999,53.223068,610500
2014-10-16,60.330002,62.660000,60.330002,62.279999,53.653809,681300
2014-10-17,63.119999,63.980000,61.919998,62.939999,54.222397,595700
2014-10-20,62.549999,63.639999,62.529999,63.450001,54.661762,476000
2014-10-21,64.360001,65.349998,63.779999,65.190002,56.160763,603200
2014-10-22,65.150002,65.209999,63.720001,63.790001,54.954678,692600
2014-10-23,64.260002,64.500000,62.279999,63.540001,54.739304,1181700
2014-10-24,64.000000,65.309998,63.779999,65.099998,56.083229,888900
2014-10-27,64.480003,64.879997,63.439999,64.389999,55.471565,1138300
2014-10-28,64.949997,66.510002,64.650002,66.190002,57.022259,735800
2014-10-29,66.629997,67.239998,65.139999,65.769997,56.660435,709700
2014-10-30,65.370003,66.690002,65.370003,65.779999,56.669052,676600
2014-10-31,65.800003,67.629997,65.260002,67.480003,58.133587,950300
2014-11-03,67.370003,67.559998,66.470001,66.589996,57.366856,737100
2014-11-04,66.370003,66.769997,65.190002,66.629997,57.401310,709000
2014-11-05,66.480003,66.989998,66.019997,66.470001,57.263474,762900
2014-11-06,66.010002,66.690002,65.889999,66.209999,57.341434,619400
2014-11-07,66.680000,67.449997,66.209999,66.930000,57.964981,692400
2014-11-10,66.849998,67.160004,64.970001,65.250000,56.510010,894300
2014-11-11,64.809998,65.180000,64.250000,64.699997,56.033665,532000
2014-11-12,64.260002,64.809998,64.110001,64.400002,55.773861,484700
2014-11-13,64.480003,64.750000,63.919998,64.019997,55.444759,539000
2014-11-14,63.939999,64.550003,63.610001,64.419998,55.791183,883700
2014-11-17,64.389999,64.930000,63.869999,64.580002,55.929752,515300
2014-11-18,64.570000,64.949997,64.279999,64.510002,55.869137,713400
2014-11-19,64.019997,64.129997,62.709999,62.799999,54.388180,713100
2014-11-20,62.180000,63.040001,62.180000,62.980000,54.544060,549700
2014-11-21,64.029999,64.809998,64.010002,64.720001,56.051003,742000
2014-11-24,64.919998,65.099998,64.559998,65.019997,56.310814,590000
2014-11-25,65.160004,65.730003,64.949997,65.430000,56.665894,448100
2014-11-26,65.589996,65.650002,65.180000,65.400002,56.639919,318500
2014-11-28,65.250000,65.250000,63.770000,63.939999,55.375469,207100
2014-12-01,63.150002,63.689999,62.500000,62.869999,54.448807,496900
2014-12-02,63.029999,63.459999,62.340000,62.450001,54.085060,526800
2014-12-03,62.950001,64.300003,62.700001,64.050003,55.470753,585000
2014-12-04,63.810001,64.250000,63.570000,63.889999,55.332176,431100
2014-12-05,64.139999,65.139999,63.939999,64.199997,55.600651,488400
2014-12-08,64.089996,64.089996,62.689999,62.939999,54.509418,401900
2014-12-09,62.119999,63.139999,62.119999,62.830002,54.414146,399100
